Data Point,Latitude,Longitude,Altitude,RSRP,RF Channel Power,RSSI,SINR,RSRQ,OSTP,Text,Voice,Video
271,39.68449667,-106.949935,2201.9,,,,,,,,,
272,39.68455167,-106.9499567,2201.9,,,,,,,,,
273,39.68461167,-106.9499083,2201,,,,,,,,,
274,39.68466333,-106.94983,2200.2,,,,,,,,,
275,39.68472833,-106.949735,2200.1,,,,,,,,,
276,39.68479167,-106.9496333,2200.2,,,,,,,,,
277,39.684845,-106.9495333,2199.9,,,,,,,,,
278,39.68490167,-106.9494533,2199.7,,,,,,,,,
279,39.68495833,-106.94936,2199.2,,,,,,,,,
280,39.68501,-106.9492733,2198.8,,,,,,,,,
281,39.685075,-106.949165,2198.7,,,,,,,,,
282,39.68514167,-106.9490783,2198.5,,,,,,,,,
283,39.68519667,-106.9490033,2198.3,,,,,,,,,
284,39.68527167,-106.9489133,2198.3,,,,,,,,,
285,39.68531833,-106.9487983,2197.7,,,,,,,,,
286,39.68536833,-106.9487067,2197.7,,,,,,,,,
287,39.685425,-106.9486117,2197.8,,,,,,,,,
288,39.68547167,-106.9485,2198,,,,,,,,,
289,39.68554333,-106.9483733,2198.1,,,,,,,,,
290,39.68561,-106.948275,2197.9,,,,,,,,,
291,39.68565667,-106.9481733,2196.5,,,,,,,,,
292,39.68568667,-106.948075,2195.2,,,,,,,,,
293,39.68567833,-106.9479733,2193.9,,,,,,,,,
294,39.68566333,-106.9478667,2192.9,,,,,,,,,
295,39.685635,-106.94778,2192.7,,,,,,,,,
296,39.68560833,-106.9477,2192.6,,,,,,,,,
297,39.68558833,-106.947615,2193,,,,,,,,,
298,39.68557167,-106.9475233,2193.3,,,,,,,,,
299,39.68557833,-106.94743,2194,,,,,,,,,
300,39.68559167,-106.94732,2195.6,,,,,,,,,
301,39.68566667,-106.94724,2197,,,,,,,,,
302,39.68575667,-106.9471817,2197.9,,,,,,,,,
303,39.68584167,-106.9471333,2198.5,,,,,,,,,
304,39.68590333,-106.9471217,2199.4,,,,,,,,,
305,39.685985,-106.9471267,2200,,,,,,,,,
306,39.68607,-106.947115,2200.4,,,,,,,,,
307,39.68615,-106.9470733,2200.8,,,,,,,,,
308,39.68622333,-106.947035,2201,,,,,,,,,
309,39.686285,-106.9469967,2201.2,,,,,,,,,
310,39.68635833,-106.9469617,2201.1,,,,,,,,,
